CustomerID,Lookalikes
C0001,"[('C0184', 0.9989681820555583), ('C0048', 0.9971734041725201), ('C0190', 0.994359527009073)]"
C0002,"[('C0088', 0.9960799027166513), ('C0097', 0.9721165182108774), ('C0128', 0.9633305211399849)]"
C0003,"[('C0072', 0.999429171975168), ('C0055', 0.9956541415728637), ('C0076', 0.9922498873950265)]"
C0004,"[('C0018', 0.9947381146774875), ('C0169', 0.9852959687934808), ('C0087', 0.9830098256971955)]"
C0005,"[('C0110', 0.9985819518967218), ('C0080', 0.9982917279329327), ('C0186', 0.9982807992031082)]"
C0006,"[('C0117', 0.9996959179314796), ('C0126', 0.9967693956083176), ('C0187', 0.9963181975416737)]"
C0007,"[('C0146', 0.99999760728896), ('C0092', 0.9987156661988513), ('C0159', 0.9933752482917064)]"
C0008,"[('C0113', 0.9815729345321934), ('C0012', 0.9741933987648511), ('C0105', 0.9712641917089063)]"
C0009,"[('C0198', 0.9999798466237246), ('C0058', 0.9724483575944117), ('C0033', 0.9698548582049543)]"
C0010,"[('C0151', 0.9550332761049599), ('C0157', 0.9538691241053109), ('C0062', 0.939555825706376)]"
C0011,"[('C0139', 0.9998377357237823), ('C0024', 0.9961316982079499), ('C0006', 0.9945140867688753)]"
C0012,"[('C0163', 0.9979517537092191), ('C0113', 0.9930623511908454), ('C0149', 0.9926664476081604)]"
C0013,"[('C0099', 0.9892787652691163), ('C0108', 0.9814692428226629), ('C0102', 0.9681332367953396)]"
C0014,"[('C0060', 0.9995872035120241), ('C0119', 0.9924952761170069), ('C0097', 0.9676347099305392)]"
C0015,"[('C0167', 0.9993578658237044), ('C0132', 0.9903380666933556), ('C0131', 0.9798465376903905)]"
C0016,"[('C0183', 0.9898469392028699), ('C0184', 0.9795813505080411), ('C0048', 0.9783956795655852)]"
C0017,"[('C0165', 0.9865168746411811), ('C0156', 0.9747329134220124), ('C0075', 0.9712749859881254)]"
C0018,"[('C0122', 0.995062160789527), ('C0004', 0.9947381146774875), ('C0169', 0.9897755992305327)]"
C0019,"[('C0094', 0.9985487274679646), ('C0073', 0.9928399905849356), ('C0032', 0.9826750347854285)]"
C0020,"[('C0103', 0.9934201070023493), ('C0061', 0.9903407068110567), ('C0062', 0.9887561487329166)]"
